country_txt,attacks_total,cluster
Afghanistan,18796,2
Algeria,1360,2
Angola,81,0
Australia,52,1
Bahrain,169,2
Bangladesh,1174,2
Burkina Faso,392,0
Burundi,388,2
Cameroon,860,0
Canada,83,1
Central African Republic,373,0
Chad,114,0
Chile,229,1
China,173,1
Colombia,2712,2
Democratic Republic of the Congo,1490,0
Ecuador,55,2
Egypt,2179,2
Ethiopia,190,0
France,503,1
Georgia,114,2
Germany,284,1
Greece,659,1
India,10887,2
Indonesia,638,2
Iran,182,2
Iraq,27360,2
Ireland,194,2
Israel,1318,2
Italy,161,2
Ivory Coast,66,0
Kenya,772,2
Kosovo,162,2
Lebanon,636,2
Libya,2491,2
Macedonia,106,2
Malaysia,72,2
Mali,976,0
Mexico,196,2
Mozambique,565,0
Myanmar,551,2
Nepal,1508,2
Netherlands,71,1
Niger,217,0
Nigeria,5469,0
Pakistan,13687,2
Paraguay,87,2
Peru,88,2
Philippines,6283,2
Russia,1914,2
Saudi Arabia,563,2
Senegal,50,0
Somalia,5148,2
South Africa,211,2
South Sudan,323,0
Spain,427,2
Sri Lanka,879,2
Sudan,992,0
Sweden,98,1
Syria,2851,2
Tanzania,64,1
Thailand,3975,2
Tunisia,138,2
Turkey,1996,2
Uganda,202,0
Ukraine,1792,2
United Kingdom,1340,2
United States,757,1
Venezuela,83,2
West Bank and Gaza Strip,1606,1
Yemen,5920,2
