country_txt,attacks_total,avg_killed,avg_wounded,median_killed,max_killed,severity_index,attacktype_Armed Assault,attacktype_Assassination,attacktype_Bombing/Explosion,attacktype_Facility/Infrastructure Attack,attacktype_Hijacking,attacktype_Hostage Taking (Barricade Incident),attacktype_Hostage Taking (Kidnapping),attacktype_Unarmed Assault,attacktype_Unknown,targettype_Abortion Related,targettype_Airports & Aircraft,targettype_Business,targettype_Educational Institution,targettype_Food or Water Supply,targettype_Government (Diplomatic),targettype_Government (General),targettype_Journalists & Media,targettype_Maritime,targettype_Military,targettype_NGO,targettype_Other,targettype_Police,targettype_Private Citizens & Property,targettype_Religious Figures/Institutions,targettype_Telecommunication,targettype_Terrorists/Non-State Militia,targettype_Tourists,targettype_Transportation,targettype_Unknown,targettype_Utilities,targettype_Violent Political Party,weaptype_Biological,weaptype_Chemical,weaptype_Explosives,weaptype_Fake Weapons,weaptype_Firearms,weaptype_Incendiary,weaptype_Melee,weaptype_Other,weaptype_Radiological,weaptype_Sabotage Equipment,weaptype_Unknown,"weaptype_Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",pct_successful,pct_suicide,num_groups
Afghanistan,18796,3.5709725473505003,3.5345818259204087,1.0,466.0,1.4696352265486803,0.21254522238774207,0.07352628218769951,0.433017663332624,0.023356033198552884,0.001383273036816344,0.0023941264098744416,0.07677165354330709,0.004256224728665673,0.17274952117471803,0.0,0.003192168546499255,0.028995530964034903,0.02128112364332837,0.0007448393275164928,0.008406043839114705,0.11842945307512237,0.005692700574590338,0.00015960842732496276,0.2074909555224516,0.008884869121089593,0.0007980421366248138,0.28894445626729093,0.19232815492658012,0.016226856778037882,0.004681847201532241,0.022824005107469673,0.00015960842732496276,0.010108533730580975,0.05623536922749521,0.0031389657373909344,0.001276867418599702,0.0,0.003298574164715897,0.47589912747393065,0.0,0.2764949989359438,0.020749095552245158,0.007927218557139817,0.0003724196637582464,0.0,0.0005320280910832092,0.21456692913385828,0.00015960842732496276,0.8701851457756969,0.0791125771440732,31.0
Albania,17,0.058823529411764705,0.11764705882352941,0.0,1.0,0.08154672712469944,0.0,0.058823529411764705,0.8235294117647058,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.4117647058823529,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.5882352941176471,0.0,1.0
Algeria,1360,2.7044117647058825,2.478676470588235,1.0,69.0,1.3360631634916065,0.3610294117647059,0.041176470588235294,0.5022058823529412,0.0058823529411764705,0.0014705882352941176,0.0007352941176470588,0.04044117647058824,0.0,0.047058823529411764,0.0,0.0007352941176470588,0.045588235294117645,0.005147058823529412,0.0,0.0029411764705882353,0.04632352941176471,0.0014705882352941176,0.0,0.26029411764705884,0.0,0.0014705882352941176,0.23897058823529413,0.29044117647058826,0.003676470588235294,0.0007352941176470588,0.01764705882352941,0.008823529411764706,0.028676470588235293,0.03308823529411765,0.013970588235294118,0.0,0.0,0.0,0.5125,0.0007352941176470588,0.3463235294117647,0.0058823529411764705,0.06691176470588235,0.0,0.0,0.0,0.06764705882352941,0.0,0.9227941176470589,0.023529411764705882,30.0
Angola,81,13.74074074074074,11.765432098765432,5.0,259.0,2.127449590796956,0.5061728395061729,0.0,0.08641975308641975,0.07407407407407407,0.0,0.0,0.12345679012345678,0.012345679012345678,0.19753086419753085,0.0,0.024691358024691357,0.08641975308641975,0.0,0.0,0.012345679012345678,0.04938271604938271,0.0,0.0,0.12345679012345678,0.0,0.0,0.024691358024691357,0.5679012345679012,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.012345679012345678,0.024691358024691357,0.0,0.0,0.012345679012345678,0.08641975308641975,0.0,0.5185185185185185,0.06172839506172839,0.024691358024691357,0.0,0.0,0.0,0.2962962962962963,0.0,0.9753086419753086,0.0,7.0
Argentina,35,0.05714285714285714,0.2857142857142857,0.0,2.0,0.1931877933944016,0.05714285714285714,0.05714285714285714,0.6,0.2,0.0,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0,0.08571428571428572,0.22857142857142856,0.0,0.0,0.08571428571428572,0.17142857142857143,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.08571428571428572,0.2,0.05714285714285714,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.0,0.08571428571428572,0.2,0.02857142857142857,0.02857142857142857,0.0,0.0,0.02857142857142857,0.0,0.8857142857142857,0.0,13.0
Armenia,12,0.6666666666666666,0.25,0.0,6.0,0.40433585532663474,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.6666666666666666,0.08333333333333333,1.0
Australia,52,0.2692307692307692,0.6346153846153846,0.0,3.0,0.2985697315029196,0.21153846153846154,0.0,0.07692307692307693,0.6346153846153846,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.019230769230769232,0.1346153846153846,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.11538461538461539,0.19230769230769232,0.4423076923076923,0.038461538461538464,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232,0.057692307692307696,0.0,0.11538461538461539,0.6730769230769231,0.09615384615384616,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,0.9038461538461539,0.019230769230769232,10.0
Austria,23,0.43478260869565216,1.5217391304347827,0.0,5.0,0.47869860916753976,0.30434782608695654,0.0,0.0,0.6086956521739131,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.13043478260869565,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.391304347826087,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.17391304347826086,0.5217391304347826,0.21739130434782608,0.0,0.0,0.043478260869565216,0.0,0.0,1.0,0.043478260869565216,6.0
Azerbaijan,19,0.6842105263157895,1.5789473684210527,0.0,5.0,0.8871236867254376,0.10526315789473684,0.15789473684210525,0.47368421052631576,0.15789473684210525,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.15789473684210525,0.0,0.0,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.47368421052631576,0.0,0.3157894736842105,0.10526315789473684,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.8421052631578947,0.05263157894736842,4.0
Bahamas,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
