country_txt,attacks_total,avg_killed,avg_wounded,median_killed,max_killed,severity_index,attacktype_Armed Assault,attacktype_Assassination,attacktype_Bombing/Explosion,attacktype_Facility/Infrastructure Attack,attacktype_Hijacking,attacktype_Hostage Taking (Barricade Incident),attacktype_Hostage Taking (Kidnapping),attacktype_Unarmed Assault,attacktype_Unknown,targettype_Abortion Related,targettype_Airports & Aircraft,targettype_Business,targettype_Educational Institution,targettype_Food or Water Supply,targettype_Government (Diplomatic),targettype_Government (General),targettype_Journalists & Media,targettype_Maritime,targettype_Military,targettype_NGO,targettype_Other,targettype_Police,targettype_Private Citizens & Property,targettype_Religious Figures/Institutions,targettype_Telecommunication,targettype_Terrorists/Non-State Militia,targettype_Tourists,targettype_Transportation,targettype_Unknown,targettype_Utilities,targettype_Violent Political Party,weaptype_Biological,weaptype_Chemical,weaptype_Explosives,weaptype_Fake Weapons,weaptype_Firearms,weaptype_Incendiary,weaptype_Melee,weaptype_Other,weaptype_Radiological,weaptype_Sabotage Equipment,weaptype_Unknown,"weaptype_Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",pct_successful,pct_suicide,num_groups
Afghanistan,18796,0.36960325852238557,0.10093266991240671,0.45366117473413986,1.054674724739131,1.244540700027031,-0.42361395720191936,0.20862228774942754,0.28113940226665574,-0.6888210855100502,-0.44940278170388737,-0.5041692545613005,-0.16262964202586955,-0.4236288941428707,2.0433982458108852,-0.1463107274504032,-0.23933990530201713,-0.8934597761463339,0.08128639371285722,-0.17114327341260485,-0.42558706019718767,0.279765518103312,-0.3532527771262242,-0.16541594389944894,0.501096715993839,0.008033498211367847,0.0471364435851572,1.8511336309940973,-0.6955920166822366,-0.48180542849435065,-0.17025302745577997,0.8874416773491527,-0.6134980971385962,-0.8180957067400264,0.5333917737579558,-0.5216801869446909,-0.31307070369641515,-0.18441854947818137,0.05079294835443257,0.34207360386978264,-0.23136040630434632,-0.21752196107010935,-0.6823269325562776,-0.7260047148613663,-0.3858440241997795,0.0,-0.350359478588957,1.4005093182292854,-0.36933152637161487,0.06127963178490909,1.3557238542974333,0.02526157801902973
Algeria,1360,0.07172165703565939,-0.14925837130319883,0.45366117473413986,-0.344690576815279,0.9615232088295811,0.7547928821638401,-0.24732195997680836,0.6162422987096068,-0.799067209171517,-0.4389770638418333,-0.6880144978072568,-0.5795558986282415,-0.619032765165602,-0.0719366907616704,-0.1463107274504032,-0.508396601707339,-0.6699364905363925,-0.7944868823229857,-0.5479515229144154,-0.5684543591438596,-0.8552080476790221,-0.4345438176829236,-0.17239584401528474,0.9175866620766461,-0.6274490155376752,0.5716015942301518,1.3094605349359536,-0.01779853719544413,-0.6654836142910778,-0.24730988726036718,0.5416527553626468,0.8886214305582719,-0.04223730348533816,0.03703281225125945,-0.043023347516838055,-0.37376277925204976,-0.18441854947818137,-0.4225016802994395,0.5130662955457668,0.37444053100651914,0.16586513947361675,-0.7692555690507192,0.5886110944925124,-0.4925132621251536,0.0,-0.4510591466385361,-0.27807883516592885,-0.38782831508846227,0.6120080605165555,-0.10398146370974214,-0.005662077831851499
Angola,81,3.8654767123736042,2.051187955060595,4.479904100499632,0.32503085214023203,2.6383424186067814,1.9066866201921515,-0.8276707774235621,-1.3975562668684416,-0.3688273964948448,-0.6145700682639713,-0.7695057531617205,0.37312603204284045,-0.052240919526204445,2.4604604600669777,-0.1463107274504032,2.1150746420856645,-0.11988781662437709,-1.0738744153580564,-0.5479515229144154,-0.3225937031623282,-0.807055333032425,-0.462857997475076,-0.17239584401528474,-0.1617307285737419,-0.6274490155376752,-0.5751930743974955,-1.0131392281005456,1.8989767820931551,-0.17724299525372383,-0.26166658145257704,-0.637064795899312,-0.6411704334745698,0.3071076875602391,-0.40776323570214723,0.4307348345671341,-0.37376277925204976,-0.18441854947818137,1.3489132619901634,-1.4775039630683722,-0.23136040630434632,1.1112858314450205,-0.4427132711073668,-0.35237459963284795,-0.4925132621251536,0.0,-0.4510591466385361,2.3342832673457625,-0.38782831508846227,1.1617477805704732,-0.7219025059552233,-0.7169061624021197
Australia,52,-0.7653755545740845,-0.5861986338323038,-0.552899556707233,-0.577330652136667,-1.2367567423440837,-0.43160385750966135,-0.8276707774235621,-1.443552012010868,3.167777699229656,-0.6145700682639713,3.493113757687488,-1.0436562814756631,1.1467418308648372,-0.863921900094181,-0.1463107274504032,1.5170758334908827,0.5293641496068938,-1.0738744153580564,-0.5479515229144154,-0.14259770761897153,-1.5843573142712646,-0.0925956463469257,-0.17239584401528474,-1.135507862237352,-0.6274490155376752,-0.5751930743974955,-0.030103504824250286,-0.6957333784447948,5.753999086941965,0.48929896090922803,-0.637064795899312,-0.6411704334745698,-0.43692449081294676,-0.6724996143527505,-0.6603932393265203,-0.37376277925204976,-0.18441854947818137,2.336817749036301,-1.6117134196712257,-0.23136040630434632,-1.1020836494851245,3.131956402912403,1.2403428628944728,5.0156048588791835,0.0,-0.4510591466385361,-1.050959666828511,1.8407975869756372,0.41365439648274266,-0.21687088488920403,-0.624135194849476
Bahrain,169,-0.7989370952305815,-0.5010247718466095,-0.552899556707233,-0.577330652136667,-0.8077467349197498,-0.6077039585700778,-0.660875681961266,1.3077011743545977,-0.014855779055504253,-0.6145700682639713,-0.11371813610799625,-1.0436562814756631,-0.3473751350070729,-0.6647540220076029,-0.1463107274504032,-0.588919970690748,-0.5666637054746947,1.8168300684536647,-0.5479515229144154,-0.18127058729804782,-1.118666038529061,-0.462857997475076,-0.17239584401528474,-0.9488192283278791,-0.6274490155376752,-0.5751930743974955,3.593628261244189,-0.5117847538185025,-0.19969463487809605,-0.26166658145257704,-0.637064795899312,-0.6411704334745698,-0.7459840110602698,1.4845536010430056,-0.398909884340171,-0.37376277925204976,-0.18441854947818137,-0.4225016802994395,1.1043003324194498,-0.23136040630434632,-1.4756912732028793,0.9262864367621915,-0.7708038231130631,-0.4925132621251536,0.0,-0.4510591466385361,-0.9157502596943318,-0.38782831508846227,-0.19028810296350065,-0.7219025059552233,-0.624135194849476
Bangladesh,1174,-0.7027380872593184,-0.11453734874971201,-0.552899556707233,-0.4892094114846261,-0.47004804526312105,-1.049104211881083,0.34884556458945015,0.7994575331339756,0.2977678774415348,-0.6145700682639713,-0.10869080343893026,-0.6331031783589727,-0.2670810995172875,-0.6345565072721597,-0.1463107274504032,-0.4956390662465887,-0.3890450671662885,3.457248777987559,-0.5479515229144154,-0.5562723439135558,1.2178030861529927,-0.06925713358416413,-0.09789601290949329,-1.0683222167290454,-0.261908328748248,-0.5751930743974955,-0.32057676469046437,-0.6414157834387351,-0.10844830830053491,-0.24503531731168554,0.6715057962171693,-0.6411704334745698,2.2831151914727807,0.7522060417924978,-0.6227521090090652,5.780296502613504,-0.18441854947818137,-0.4225016802994395,0.900361772988372,-0.23136040630434632,-1.1743921244702733,0.36678288854611346,0.6160544440106295,-0.4925132621251536,0.0,0.35505284682819593,-0.7103448273060787,-0.38782831508846227,0.4304591565468331,-0.4311006525986394,0.08710888972079218
Burkina Faso,392,0.6617734410510818,-0.3049896926731864,1.4602219061755126,-0.383463922702177,0.9557578820660773,2.039907152679085,-0.10857967708866166,-1.198343062524533,-0.44989886149031866,0.6038303705835238,0.3613933007370439,0.18590836918503856,-0.619032765165602,0.9821915821190397,-0.1463107274504032,-0.588919970690748,-0.665489222649027,2.52639641850496,-0.5479515229144154,-0.5786541570616193,-0.09865958609983452,-0.41374156314175115,-0.17239584401528474,0.5546910197644861,-0.26252999658291937,3.40348230655559,1.0142472204247504,-0.22668524150088104,-0.04726240229717456,-0.26166658145257704,0.38529226386870796,-0.1988836700637253,-0.2811332632597066,-0.6177964340703566,-0.5476618949574081,-0.37376277925204976,-0.18441854947818137,-0.4225016802994395,-1.1780849063616354,-0.23136040630434632,1.891998564811976,-0.46057599533537874,-0.8458265248493775,-0.4925132621251536,0.0,-0.4510591466385361,0.4063356013906433,-0.38782831508846227,0.5389621939868953,-0.587914524856076,-0.6550588507003573
Burundi,388,0.0377790590276984,-0.0898551891489646,0.45366117473413986,-0.461010614475973,0.9247603518613016,0.7531685749854716,0.4073867206774107,0.20610672575455075,-0.6735705594872309,-0.3068297512354863,-0.4838663014037908,-0.45211315057360724,-0.619032765165602,0.003587671983956484,-0.1463107274504032,-0.30667311033651556,0.34775428570958866,-0.3743769099683363,-0.5479515229144154,-0.30845253180964954,-0.04277516333495735,-0.31398962949571824,0.05302374804193234,0.002907879592064413,-0.25876794484111787,-0.5751930743974955,0.14395860400113378,0.21916344644336339,-0.4175317509979224,-0.26166658145257704,-0.637064795899312,0.2525224080566385,0.15952852145817534,-0.009294047217731914,-0.4326061929724336,1.463814946494902,-0.18441854947818137,-0.4225016802994395,0.4907908646916143,-0.23136040630434632,0.3586869922405479,-0.6830902177386788,-0.7303565600346642,-0.4925132621251536,0.0,-0.4510591466385361,-0.10867555113051744,-0.38782831508846227,0.8806202465700415,-0.7219025059552233,-0.5622878831477136
Cameroon,860,0.38357860090693796,-0.287474687024979,0.45366117473413986,0.046567731679782724,0.28749566400126425,-0.15404825636544503,-0.33601314138063093,-0.9262924194870703,-0.13189021753953659,0.07963483293982716,0.26145338434599114,2.545909977739999,-0.5656488820297988,0.7211996598634767,-0.1463107274504032,-0.4615806895076744,-0.7044897875471109,3.091877239995429,0.6285414766930266,-0.5541490969479337,0.24591769969228167,-0.2837543485572737,-0.07069491178482035,0.05680297700425512,-0.29477865407194764,0.33157480312203585,-0.272481118319258,0.7470987922350781,-0.20875733990919637,-0.23896297203233677,-0.17106018260970082,-0.036368998856944085,-0.5116737701285806,-0.02420331965720118,-0.6603932393265203,-0.37376277925204976,-0.18441854947818137,-0.4225016802994395,-0.9740392281335626,-0.23136040630434632,0.8500067403647219,-0.17133861907868847,-0.1770440085327215,-0.1594642594597799,0.0,-0.4510591466385361,1.1543686516262994,-0.38782831508846227,0.604668768400623,2.4539242460506325,-0.4695169155950699
Canada,83,-0.7336765017524862,-0.27980668536445347,-0.552899556707233,-0.5526567047540956,-0.7678508900870866,-0.6761637568939671,-0.6578613127661644,-0.8241056997192461,2.0523997721155514,-0.6145700682639713,-0.7695057531617205,-0.9053919834093997,5.465443553686281,-0.863921900094181,2.0010848673821484,-0.588919970690748,0.5012731837701915,0.23410164291284083,5.5471326919193995,-0.6453451434469635,-0.6361425480009945,0.23305678295855667,-0.17239584401528474,-0.8504140749117409,-0.6274490155376752,-0.5751930743974955,-0.6278125401273609,-0.4428348008126631,1.7493086286241826,1.3850289451721054,-0.637064795899312,-0.6411704334745698,0.7732483294325962,-0.41414242554914893,3.066532169695787,-0.37376277925204976,-0.18441854947818137,3.0349588094706395,-0.9243626877815746,-0.23136040630434632,-1.3386952875546714,1.732478870409157,3.393695852198613,2.958355922118522,0.0,4.10978654169861,-1.050959666828511,3.800914344212741,0.03285531048651673,-0.40549715299819966,-0.28397498048978254
Central African Republic,373,1.3806080856535397,0.2817226345231395,0.45366117473413986,-0.10852565186780931,1.2087040526608774,1.9959966241148033,-0.37423853399522805,-1.5564203914448183,-0.5993715782955678,0.34577773072038126,1.3103782977083966,1.2023045281315528,-0.619032765165602,1.4371879406943153,-0.1463107274504032,-0.588919970690748,-1.0312534314210504,-0.7828234426060899,-0.5479515229144154,4.891615892428087,-0.6559711677782272,-0.20476627819003815,-0.17239584401528474,-0.5434095943689691,3.3993785501936458,1.5154781713579608,-0.9901787766382014,1.2169049124639746,-0.0915037004645193,-0.26166658145257704,0.07922469012225195,-0.6411704334745698,-1.1284555245888637,-0.6150099449943099,-0.6603932393265203,-0.2463311156971263,-0.18441854947818137,-0.4225016802994395,-1.4428669624145258,-0.23136040630434632,1.6351942603854293,-0.7095941508643716,-0.24541130776876574,-0.4925132621251536,0.0,-0.4510591466385361,1.7670508722093223,-0.38782831508846227,0.6063331027403879,-0.7219025059552233,-0.3148986363406638
Chad,114,3.2821712279492172,3.079487362673516,4.479904100499632,-0.02392926084185002,2.600927160001116,0.2565253093240839,-0.8276707774235621,-0.5840367850204141,-0.61480273920557,0.43282680021896897,0.2026706265056438,0.5670015065243204,-0.619032765165602,3.417313935442313,-0.1463107274504032,0.3717096943745583,-0.9295590527074491,-1.0738744153580564,-0.5479515229144154,0.27194842367779476,-1.0320638012857735,-0.462857997475076,-0.17239584401528474,1.770448110327213,1.8821695007827646,-0.5751930743974955,-0.9004517492129896,1.0663008153439018,-0.7192897233278459,-0.26166658145257704,-0.051152562815882055,-0.6411704334745698,-1.2404792434559866,-0.6724996143527505,-0.6603932393265203,-0.37376277925204976,-0.18441854947818137,-0.4225016802994395,-0.6518151617674768,-0.23136040630434632,0.1908666089492416,-0.7010685489271702,-0.316170146034569,-0.4925132621251536,0.0,-0.4510591466385361,2.85765964203718,-0.38782831508846227,1.052915170750401,3.4246729091131507,-0.4695169155950699
Chile,229,-0.8459152581344354,-0.6600000625412048,-0.552899556707233,-0.5808555017627487,-1.524123349443087,-1.0707421282287926,-0.7045774536981129,-0.3779169646172209,2.4148830758593762,1.4710760977981239,0.6823908487869195,-1.0436562814756631,-0.017589889661783646,-0.7904298228089595,-0.1463107274504032,-0.11070258284164722,4.186764286266206,-0.12573456525775467,-0.5479515229144154,-0.30286217406195554,-0.6907994690261802,-0.2947039166133844,0.018570971963318007,-1.0321769262197724,-0.6274490155376752,-0.5751930743974955,-0.38145578681465536,-0.9985658303404815,1.1979934633098794,0.07938327184710708,-0.637064795899312,-0.6411704334745698,1.3140528959507114,-0.39157847892874637,0.30446892208598947,-0.37376277925204976,1.1507587474594452,0.830639021232941,-0.5143771080189588,-0.23136040630434632,-0.48886209887946835,1.7497063402141069,-0.7080319743694687,0.7582384509413251,0.0,2.0285272647063377,-1.0010679860300915,-0.38782831508846227,0.5059600186688472,-0.7219025059552233,-0.4076696038933075
China,173,0.8111585649980612,0.7837128903379489,-0.552899556707233,0.06066713018410927,1.2529265413948412,0.6420299378186055,-0.501793654497227,0.4515790364007968,-0.4350132473803028,2.8363907122867533,-0.7695057531617205,-0.9109864925797119,1.7693559947830866,-0.7666404798727028,-0.1463107274504032,2.5761604286573676,0.8183745425022907,0.49494079904201077,-0.5479515229144154,-0.6453451434469635,-0.3105705415475024,-0.12897980801847841,0.08038681991014889,-1.0443217953856159,-0.6274490155376752,-0.5751930743974955,1.726615813147544,-0.18736412233244,-0.6346928351313074,-0.26166658145257704,-0.637064795899312,0.36100535413845924,2.6240152894862656,-0.1766927549146254,-0.6603932393265203,-0.37376277925204976,-0.18441854947818137,1.236279941960185,0.5491851358574759,-0.23136040630434632,-1.7038557682102036,0.41310505780796297,4.379317283933999,-0.4925132621251536,0.0,-0.4510591466385361,-0.9849180777947649,0.951923672279542,0.14950228208139862,1.7069200878420505,-0.747829818253001
Colombia,2712,-0.43596649798972903,-0.3030426133936104,-0.552899556707233,-0.16844809551119713,-0.2809037401115651,-0.6999270793417378,0.20132949624151203,0.603772537342542,-0.46162594807835455,0.5301512879983515,-0.5243108255465083,0.5981812756504269,-0.5343901775977731,-0.299208995025323,-0.1463107274504032,-0.10435456441887271,0.2607506186980531,-0.7336173692260108,1.6905086090820571,-0.5585878425739929,-0.017285565590086115,-0.18598039862260973,-0.09177010496827268,-0.1990014020524591,-0.17910455714636397,-0.00010430251936249799,0.2739552789250775,-0.3863337211435897,-0.5897741334340304,-0.17527231551714892,-0.46466141758051516,0.06205247354150756,1.2709256545537533,-0.0794784121763416,5.401161171175628,-0.37376277925204976,-0.18441854947818137,-0.2108724615303286,0.5907576990039998,-0.23136040630434632,-0.11195396721093874,-0.4910245985172225,-0.779410935725456,-0.38690037779911984,0.0,0.03748276798607452,0.22552781678504535,-0.38782831508846227,0.4011836074086309,-0.6734850201598096,-0.28397498048978254
Democratic Republic of the Congo,1490,0.7519405381518792,-0.41931601602008145,0.45366117473413986,0.8220346494177428,0.6521030361147627,1.0374413076943856,-0.5911911538234954,-1.7186003940370582,-0.2179570168281788,-0.3741608541558119,0.4949760077747509,2.0987478726961184,-0.5574084168477624,2.163162507388136,-0.1463107274504032,-0.0009372495232607982,-0.7144770044907007,-0.8188629758092669,-0.20842669752435064,0.44247883850568515,-0.8871330874754868,-0.24318556902052327,-0.11369597709031913,0.2779067733158633,1.1966562550495923,-0.5751930743974955,-0.8442970827203654,1.9352669273398548,-0.5424879046405829,-0.24856248474022366,-0.05429840030894724,-0.40845041836443363,-0.9600440277684846,-0.6724996143527505,-0.630735060136794,-0.37376277925204976,-0.18441854947818137,-0.3262032841078587,-1.727604465335685,-0.23136040630434632,0.8474787705381805,-0.19538628559481325,0.6978266955764751,0.08417561497327473,0.0,-0.4510591466385361,2.58363253716162,-0.38782831508846227,0.5911891714877439,-0.7219025059552233,1.014818565247229
